No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum,S0V1,S0V2,S0V3,S0V4,S0V5,S0V6,S0V7,S0V8,S0V9,S0V10,S0V11,S0V12,S0V13,S0V14,S0V15,S0V16,S0V17,S0V18,S0V19,S0V20,S0V21,S0V22,S0V23,S0V24,S0V25,S0V26,S0V27,S0V28,S0V29,S0V30,S0V31,S0V32,S0V33,S0V34,S0V35,S0V36,S0V37,S0V38,S0V39,S0V40,S0T1,S0T2,S0T3,S0T4,S0T5,S0T6,S0T7,S0T8,S0T9,S0T10,S0T11,S0T12,S0T13,S0T14,S0T15,S0T16,S0T17,S0T18,S0T19,S0T20,S0T21,S0T22,S0T23,S0T24,S0T25,S0T26,S0T27,S0T28,S0T29,S0T30,S0T31,S0T32,S0T33,S0T34,S0T35,S0T36,S0T37,S0T38,S0T39,S0T40,S0T41,S0T42,S0T43,S0T44,S0T45,S0T46,S0T47,S0T48,S0T49,S0T50,S0T51,S0T52,S0T53,S0T54,S0T55,S0T56,S0T57,S0T58,S0T59,S0T60,S0T61,S0T62,S0T63,S0T64
1,2018-11-16 15:47:41,203,126.9,126.7,0.7,0,100,3.181,40,3.158,3,0.023,29,8,21,2,8,0.5,Normal,On,Off,Off,Off,Off,Off,Close,Close,40,0,219.618,0.252,2.635,4539.5,4366.5,0000000000000000,000000C000000000,0000000000000000,000000000000000,0,3.17,3.163,3.159,3.162,3.167,3.173,3.174,3.167,3.169,3.168,3.16,3.163,3.158,3.159,3.169,3.162,3.165,3.163,3.172,3.162,3.16,3.167,3.171,3.165,3.165,3.172,3.176,3.173,3.177,3.171,3.179,3.164,3.178,3.172,3.17,3.172,3.173,3.174,3.162,3.181,27,29,28,23,23,23,22,21,-40,-40,-40,-40,211,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,28,-40,-40,-40,-40
2,2018-11-16 15:47:42,223,126.9,126.8,0.5,0,100,3.181,40,3.158,14,0.023,29,8,21,2,8,0.5,Normal,On,Off,Off,Off,Off,Off,Close,Close,40,0,219.618,0.252,2.635,4539.5,4366.5,0000000000000000,000000C000000000,0000000000000000,000000000000000,0,3.169,3.163,3.159,3.161,3.167,3.173,3.174,3.167,3.168,3.168,3.16,3.163,3.159,3.157,3.169,3.162,3.165,3.163,3.171,3.162,3.161,3.167,3.17,3.166,3.165,3.172,3.175,3.173,3.177,3.172,3.179,3.164,3.178,3.172,3.17,3.171,3.173,3.174,3.163,3.181,27,29,28,23,23,23,22,21,-40,-40,-40,-40,211,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,28,-40,-40,-40,-40
3,2018-11-16 15:47:43,243,126.9,126.7,0.5,0,100,3.181,40,3.158,14,0.023,29,8,21,2,8,0.5,Normal,On,Off,Off,Off,Off,Off,Close,Close,40,0,219.618,0.252,2.635,4539.5,4366.5,0000000000000000,000000C000000000,0000000000000000,000000000000000,0,3.169,3.163,3.159,3.161,3.167,3.173,3.174,3.167,3.169,3.169,3.161,3.163,3.159,3.158,3.169,3.163,3.166,3.164,3.172,3.162,3.16,3.167,3.171,3.165,3.165,3.172,3.176,3.173,3.177,3.171,3.179,3.164,3.178,3.172,3.17,3.173,3.172,3.174,3.163,3.181,27,29,28,23,23,23,22,21,-40,-40,-40,-40,211,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,28,-40,-40,-40,-40
4,2018-11-16 15:47:44,7,126.9,126.7,0.5,0,100,3.181,40,3.158,14,0.023,29,8,21,2,8,0.5,Normal,On,Off,Off,Off,Off,Off,Close,Close,40,0,219.618,0.252,2.635,4538,4361.5,0000000000000000,000000C000000000,0000000000000000,000000000000000,0,3.169,3.163,3.159,3.162,3.168,3.173,3.174,3.167,3.17,3.169,3.161,3.163,3.159,3.158,3.17,3.162,3.165,3.163,3.171,3.162,3.16,3.167,3.171,3.165,3.166,3.172,3.177,3.173,3.177,3.172,3.18,3.165,3.179,3.172,3.17,3.173,3.173,3.174,3.163,3.181,27,29,28,23,23,23,22,21,-40,-40,-40,-40,211,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,28,-40,-40,-40,-40
5,2018-11-16 15:47:45,27,126.8,126.8,0.5,0,100,3.181,40,3.158,14,0.023,29,8,21,2,8,0.5,Normal,On,Off,Off,Off,Off,Off,Close,Close,40,0,219.618,0.252,2.635,4538,4361.5,0000000000000000,000000C000000000,0000000000000000,000000000000000,0,3.17,3.163,3.159,3.162,3.168,3.173,3.175,3.167,3.17,3.169,3.161,3.163,3.159,3.158,3.17,3.163,3.165,3.164,3.172,3.163,3.161,3.167,3.171,3.166,3.166,3.173,3.177,3.172,3.177,3.172,3.18,3.165,3.178,3.173,3.17,3.172,3.173,3.174,3.164,3.181,27,29,28,23,23,23,22,21,-40,-40,-40,-40,211,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,28,-40,-40,-40,-40
6,2018-11-16 15:47:46,47,126.9,126.7,0.4,0,100,3.182,40,3.159,3,0.023,29,8,21,2,8,0.5,Normal,On,Off,Off,Off,Off,Off,Close,Close,40,0,219.618,0.252,2.635,4538,4361.5,0000000000000000,000000C000000000,0000000000000000,000000000000000,0,3.17,3.163,3.159,3.162,3.168,3.174,3.175,3.168,3.17,3.17,3.161,3.163,3.159,3.158,3.17,3.163,3.165,3.164,3.172,3.163,3.161,3.167,3.172,3.166,3.166,3.173,3.176,3.173,3.177,3.172,3.18,3.165,3.179,3.172,3.17,3.173,3.173,3.175,3.164,3.182,27,29,28,23,23,23,22,21,-40,-40,-40,-40,211,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,28,-40,-40,-40,-40
7,2018-11-16 15:47:47,67,126.9,126.7,0.5,0,100,3.181,31,3.158,14,0.023,29,8,21,2,8,0.5,Normal,On,Off,Off,Off,Off,Off,Close,Close,40,0,219.618,0.252,2.635,4538,4361.5,0000000000000000,000000C000000000,0000000000000000,000000000000000,0,3.17,3.163,3.159,3.162,3.168,3.173,3.175,3.167,3.17,3.169,3.161,3.163,3.159,3.159,3.17,3.162,3.166,3.165,3.172,3.163,3.161,3.167,3.171,3.166,3.167,3.173,3.177,3.173,3.177,3.172,3.18,3.165,3.179,3.173,3.171,3.172,3.173,3.175,3.163,3.181,27,29,28,23,23,23,22,21,-40,-40,-40,-40,211,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,28,-40,-40,-40,-40
8,2018-11-16 15:47:48,87,126.9,126.7,0.6,0,100,3.182,40,3.159,3,0.023,29,8,21,2,8,0.5,Normal,On,Off,Off,Off,Off,Off,Close,Close,40,0,219.618,0.252,2.636,4538,4361.5,0000000000000000,000000C000000000,0000000000000000,000000000000000,0,3.17,3.163,3.16,3.162,3.168,3.174,3.176,3.168,3.17,3.169,3.161,3.164,3.16,3.159,3.169,3.163,3.166,3.164,3.173,3.163,3.162,3.167,3.172,3.166,3.166,3.173,3.177,3.174,3.178,3.172,3.181,3.166,3.179,3.173,3.171,3.172,3.173,3.175,3.164,3.181,27,29,28,23,23,23,22,21,-40,-40,-40,-40,211,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,28,-40,-40,-40,-40
9,2018-11-16 15:47:49,107,126.9,126.8,0.5,0,100,3.182,40,3.159,3,0.023,29,8,21,2,8,0.5,Normal,On,Off,Off,Off,Off,Off,Close,Close,40,0,219.618,0.252,2.636,4536.5,4360.5,0000000000000000,000000C000000000,0000000000000000,000000000000000,0,3.17,3.164,3.16,3.162,3.168,3.174,3.175,3.168,3.17,3.17,3.161,3.164,3.16,3.16,3.17,3.163,3.166,3.165,3.173,3.163,3.161,3.167,3.171,3.167,3.166,3.173,3.177,3.174,3.178,3.172,3.181,3.165,3.178,3.173,3.171,3.173,3.174,3.175,3.164,3.182,27,29,28,23,23,23,22,21,-40,-40,-40,-40,211,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,28,-40,-40,-40,-40
10,2018-11-16 15:47:50,127,126.8,126.7,3.2,0,100,3.18,31,3.158,14,0.022,29,8,21,2,8,2.9,Normal,On,Off,Off,Off,Off,Off,Close,Close,40,0,219.618,0.252,2.636,4536.5,4360.5,0000000000000000,000000C000000000,0000000000000000,000000000000000,0,3.17,3.164,3.159,3.162,3.169,3.173,3.174,3.168,3.17,3.169,3.161,3.163,3.159,3.158,3.169,3.163,3.164,3.163,3.171,3.161,3.16,3.167,3.17,3.165,3.165,3.172,3.176,3.172,3.176,3.171,3.18,3.163,3.178,3.173,3.171,3.173,3.173,3.176,3.165,3.182,27,29,28,23,23,23,22,21,-40,-40,-40,-40,211,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,28,-40,-40,-40,-40
